FPS, FrameIndex, NumFramePresents, NumMisPresented, NumDroppedFrames, ReprojectionMotion, PredictedFrames, ThrottledFrames, SystemTimeInMs, PreSubmitGpuMs, PostSubmitGpuMs, TotalRenderGpuMs, CompositorRenderGpuMs, CompositorRenderCpuMs, CompositorIdleCpuMs, ClientFrameIntervalMs, WaitGetPosesCalledMs, NewPosesReadyMs, NewFrameReadyMs, CompositorUpdateStartMs, CompositorUpdateEndMs, CompositorRenderStartMs
1, 3669, 1, 0, 0, 1, 2, 0, 54813.9, 7.20451, 0.01376, 7.42544, 0.007168, 0.3121, 11.3367, 1.884, -15.8565, -3.83351, -2.56921, -2.54301, -2.52921, -1.78211
2, 3670, 1, 0, 0, 1, 2, 0, 54827.8, 7.21558, 0.013472, 7.43677, 0.007712, 0.4301, 11.1161, 1.906, -15.8113, -3.78841, -2.33501, -2.30861, -2.29461, -1.55131
3, 3671, 1, 0, 0, 1, 2, 0, 54841.8, 7.19981, 0.013568, 7.42115, 0.007776, 0.3598, 11.0738, 2.1226, -15.5768, -3.86861, -2.28971, -2.23291, -2.21851, -1.43091
4, 3672, 1, 0, 0, 1, 2, 0, 54855.7, 7.23789, 0.013856, 7.45894, 0.0072, 0.314, 11.7132, 2.2903, -15.4616, -3.74731, -2.75491, -2.70881, -2.68821, -2.06041
5, 3673, 1, 0, 0, 1, 2, 0, 54869.6, 7.54461, 0.143392, 7.89542, 0.007424, 0.3553, 11.4656, 1.5339, -16.1044, -3.82071, -2.58751, -2.53921, -2.52671, -1.92861
6, 3674, 1, 0, 0, 1, 2, 0, 54883.5, 7.20154, 0.013696, 7.42234, 0.007104, 0.3212, 10.4355, 1.7912, -15.9397, -3.88851, -2.88311, -2.86371, -2.85181, -0.799111
7, 3675, 1, 0, 0, 1, 2, 0, 54897.4, 7.19062, 0.013504, 7.41136, 0.007232, 0.4144, 11.2535, 2.9881, -14.811, -3.76371, -2.45531, -2.43341, -2.41941, -1.58311
8, 3676, 1, 0, 0, 1, 2, 0, 54911.4, 7.22784, 0.0144, 7.45002, 0.007776, 0.4091, 8.8388, 2.078, -15.5931, -3.71181, -2.19061, -2.13861, -2.12611, 0.866989
9, 3677, 1, 0, 0, 1, 2, 0, 54925.3, 7.22006, 0.013856, 7.44179, 0.007872, 0.4202, 10.2847, 4.2938, -13.3254, -3.71781, -2.39451, -2.34891, -2.33551, -0.681411
10, 3678, 1, 0, 0, 1, 2, 0, 54939.2, 7.49549, 0.013888, 7.71718, 0.007808, 0.4309, 11.0923, 2.8715, -14.7246, -3.73511, -2.46911, -2.44001, -2.42391, -1.46091
11, 3679, 1, 0, 0, 1, 2, 0, 54953.1, 7.2305, 0.014496, 7.45267, 0.00768, 0.3456, 11.385, 2.0757, -15.5392, -3.75461, -2.49721, -2.47231, -2.45901, -1.76691
12, 3680, 1, 0, 0, 1, 2, 0, 54967.1, 7.36534, 0.14688, 7.71955, 0.007328, 0.4001, 11.5027, 1.8717, -15.7887, -3.75251, -2.53601, -2.48871, -2.47631, -1.82781
13, 3681, 1, 0, 0, 1, 2, 0, 54981, 7.2089, 0.021152, 7.43734, 0.007296, 0.2833, 11.9487, 1.8189, -15.8433, -3.77801, -2.81841, -2.80261, -2.79151, -2.22121
14, 3682, 1, 0, 0, 1, 2, 0, 54994.9, 7.20374, 0.021792, 7.4328, 0.007264, 0.279, 11.9516, 1.4698, -16.2207, -3.81281, -2.78921, -2.76971, -2.75871, -2.18471
15, 3683, 1, 0, 0, 1, 2, 0, 55008.8, 7.24602, 0.013696, 7.46694, 0.007232, 0.3181, 11.5086, 1.5416, -16.1883, -3.75691, -2.60241, -2.57581, -2.56031, -1.82561
16, 3684, 1, 0, 0, 1, 2, 0, 55022.8, 7.27158, 0.013696, 7.49251, 0.007232, 0.2696, 11.8709, 1.8007, -15.8693, -3.70111, -2.72771, -2.70981, -2.69921, -2.03721
17, 3685, 1, 0, 0, 1, 2, 0, 55036.7, 7.74144, 0.109984, 8.05862, 0.0072, 0.3352, 11.609, 1.5105, -16.0734, -3.71941, -2.65891, -2.64101, -2.63201, -1.94941
18, 3686, 1, 0, 0, 1, 2, 0, 55050.6, 7.2545, 0.014016, 7.4759, 0.007392, 0.3075, 11.5342, 1.5804, -16.0293, -3.82391, -2.51451, -2.48681, -2.47441, -1.87001
19, 3687, 1, 0, 0, 1, 2, 0, 55064.5, 7.21626, 0.013824, 7.43725, 0.007168, 0.3215, 11.8659, 1.8018, -15.9107, -3.83051, -2.87091, -2.85201, -2.84081, -2.15831
20, 3688, 1, 0, 0, 1, 2, 0, 55078.4, 7.23402, 0.0136, 7.45478, 0.007168, 0.2778, 11.6736, 1.549, -16.1851, -3.75771, -2.59921, -2.57521, -2.56321, -1.83271
21, 3689, 1, 0, 0, 1, 2, 0, 55092.4, 7.23965, 0.01376, 7.46083, 0.007424, 0.2923, 11.73, 1.8048, -15.8402, -3.70301, -2.70931, -2.66741, -2.65331, -2.00661
22, 3690, 1, 0, 0, 1, 2, 0, 55106.3, 7.68906, 0.013568, 7.90995, 0.007328, 0.3124, 11.8084, 1.5291, -16.0576, -3.80521, -2.79121, -2.77171, -2.75981, -2.09931
23, 3691, 1, 0, 0, 1, 2, 0, 55120.2, 7.27584, 0.013344, 7.49635, 0.007168, 0.3507, 11.2676, 1.5479, -16.1419, -3.78851, -2.56601, -2.51611, -2.50531, -1.72301
24, 3692, 1, 0, 0, 1, 2, 0, 55134.1, 7.4576, 0.110304, 7.77536, 0.007456, 0.3625, 11.7166, 1.8565, -15.8173, -3.81641, -2.73331, -2.71041, -2.69671, -2.00011
25, 3693, 1, 0, 0, 1, 2, 0, 55148.1, 7.25651, 0.013888, 7.4777, 0.007296, 0.3535, 11.4932, 1.6966, -16.0285, -3.76701, -2.57591, -2.55151, -2.53771, -1.91531
26, 3694, 1, 0, 0, 1, 2, 0, 55162, 7.22474, 0.013408, 7.44554, 0.007392, 0.4077, 10.79, 1.7087, -15.9462, -3.79181, -2.18981, -2.16431, -2.14951, -1.16961
27, 3695, 1, 0, 0, 1, 2, 0, 55175.9, 7.22723, 0.013504, 7.4481, 0.00736, 0.4138, 11.0481, 2.4888, -15.2099, -3.71551, -2.17111, -2.14331, -2.13011, -1.33431
28, 3696, 1, 0, 0, 1, 2, 0, 55189.8, 7.24605, 0.01376, 7.46701, 0.0072, 0.3638, 11.281, 2.2433, -15.3865, -3.73511, -2.35341, -2.31971, -2.30341, -1.60491
29, 3697, 1, 0, 0, 1, 2, 0, 55203.8, 7.48618, 0.135296, 7.82874, 0.007264, 0.3558, 11.8143, 1.9844, -15.6232, -3.75121, -2.75661, -2.73661, -2.72451, -2.12741
30, 3698, 1, 0, 0, 1, 2, 0, 55217.7, 7.24474, 0.013504, 7.46541, 0.007168, 0.3197, 11.3343, 1.5024, -16.1638, -3.77041, -2.47751, -2.45311, -2.43811, -1.64911
31, 3699, 1, 0, 0, 1, 2, 0, 55231.6, 7.22662, 0.013792, 7.44765, 0.007232, 0.3312, 11.8262, 2.0111, -15.6693, -3.76341, -2.83591, -2.81441, -2.80031, -2.09381
32, 3700, 1, 0, 0, 1, 2, 0, 55245.5, 7.26576, 0.013504, 7.4864, 0.007136, 0.3456, 11.5887, 1.5141, -16.1564, -3.75361, -2.54761, -2.52181, -2.50721, -1.87761
33, 3701, 1, 0, 0, 1, 2, 0, 55259.5, 7.2103, 0.013664, 7.43152, 0.007552, 0.3699, 11.4803, 1.7859, -15.8838, -3.74861, -2.55881, -2.53121, -2.51711, -1.87241
34, 3702, 1, 0, 0, 1, 2, 0, 55273.4, 7.2633, 0.01344, 7.48394, 0.0072, 0.3331, 11.6162, 1.7809, -15.879, -3.74671, -2.57491, -2.55191, -2.54071, -1.88231
35, 3703, 1, 0, 0, 1, 2, 0, 55287.3, 7.2753, 0.013792, 7.49651, 0.007424, 0.3556, 11.3239, 1.7663, -15.8917, -3.73271, -2.38291, -2.35891, -2.34561, -1.61381
36, 3704, 1, 0, 0, 1, 2, 0, 55301.2, 7.41354, 0.115328, 7.73613, 0.007264, 0.311, 11.5943, 2.0086, -15.6357, -3.72011, -2.67051, -2.64771, -2.63371, -1.91721
37, 3705, 1, 0, 0, 1, 2, 0, 55315.1, 7.25395, 0.013632, 7.47504, 0.007456, 0.3105, 11.8997, 1.6842, -15.9483, -3.77281, -2.79531, -2.77481, -2.76331, -2.15991
38, 3706, 1, 0, 0, 1, 2, 0, 55329.1, 7.2119, 0.013376, 7.43251, 0.007232, 0.3299, 11.5375, 1.523, -16.1584, -3.71041, -2.47751, -2.45111, -2.43781, -1.78861
39, 3707, 1, 0, 0, 1, 2, 0, 55343, 7.23347, 0.013472, 7.45414, 0.0072, 0.3227, 11.5799, 1.8259, -15.792, -3.76891, -2.57001, -2.54471, -2.53091, -1.85201
40, 3708, 1, 0, 0, 1, 2, 0, 55356.9, 7.26016, 0.013408, 7.4808, 0.007232, 0.2737, 11.7562, 1.8174, -15.8684, -3.73331, -2.61541, -2.59351, -2.58281, -1.88591
41, 3709, 1, 0, 0, 1, 2, 0, 55370.8, 7.56826, 0.021696, 7.79715, 0.0072, 0.3792, 11.7152, 1.7557, -15.8862, -3.59351, -2.61521, -2.59591, -2.58271, -1.99881
42, 3710, 1, 0, 0, 1, 2, 0, 55384.8, 7.24131, 0.013664, 7.46214, 0.007168, 0.3485, 11.9159, 1.5072, -15.9981, -3.76491, -2.85261, -2.79821, -2.77741, -2.20401
